AÑO;MES;CCAA_DESTINO;CONTINENTE_ORIGEN;PAIS_ORIGEN;TURISTAS;PERNOCTACIONES;ESTANCIA_MEDIA
2023;1;Comunidad de Madrid;Europa;Hungría;1389.0;6945.0;5.0
2023;1;Comunidad de Madrid;Europa;Irlanda;8427.0;55618.0;6.6
2023;1;Comunidad de Madrid;Europa;Islandia;117.0;632.0;5.4
2023;1;Comunidad de Madrid;Europa;Italia;33054.0;165270.0;5.0
2023;1;Comunidad de Madrid;Europa;Letonia;829.0;9368.0;11.3
2023;1;Comunidad de Madrid;Europa;Liechtenstein;1125.0;11588.0;10.3
2023;1;Comunidad de Madrid;Europa;Lituania;958.0;4215.0;4.4
2023;1;Comunidad de Madrid;Europa;Luxemburgo;4304.0;47344.0;11.0
2023;1;Comunidad de Madrid;Europa;Macedonia del Norte;69.0;421.0;6.1
2023;1;Comunidad de Madrid;Europa;Malta;1273.0;5347.0;4.2
2023;1;Comunidad de Madrid;Europa;Moldavia;170.0;1258.0;7.4
2023;1;Comunidad de Madrid;Europa;Montenegro;73.0;307.0;4.2
2023;1;Comunidad de Madrid;Europa;Noruega;1308.0;9287.0;7.1
2023;1;Comunidad de Madrid;Europa;Países Bajos;30804.0;311120.0;10.1
2023;1;Comunidad de Madrid;Europa;Polonia;11229.0;62882.0;5.6
2023;1;Comunidad de Madrid;Europa;Portugal;22776.0;104770.0;4.6
2023;1;Comunidad de Madrid;Europa;Reino Unido;36112.0;266971.0;6.35
2023;1;Comunidad de Madrid;Europa;República Checa;1174.0;6340.0;5.4
2023;1;Comunidad de Madrid;Europa;República Eslovaca;382.0;1719.0;4.5
2023;1;Comunidad de Madrid;Europa;Rumanía;4413.0;35745.0;8.1
2023;1;Comunidad de Madrid;Europa;Rusia;950.0;7600.0;8.0
2023;1;Comunidad de Madrid;Europa;Serbia;250.0;1650.0;6.6
2023;1;Comunidad de Madrid;Europa;Suecia;6575.0;57203.0;8.7
2023;1;Comunidad de Madrid;Europa;Suiza;12546.0;74021.0;5.9
2023;1;Comunidad de Madrid;Europa;Turquía;1369.0;5750.0;4.2
2023;1;Comunidad de Madrid;Oceanía;Australia;978.0;7042.0;7.2
2023;1;Comunidad de Madrid;Oceanía;Nueva Zelanda;157.0;1287.0;8.2
2023;1;Comunidad de Madrid;Oceanía;Papúa Nueva Guinea;42.0;433.0;10.3
2023;1;Comunidad de Madrid;África;Angola;84.0;386.0;4.6
2023;1;Comunidad de Madrid;África;Argelia;483.0;3333.0;6.9
2023;1;Comunidad de Madrid;África;Burkina Faso;85.0;476.0;5.6
2023;1;Comunidad de Madrid;África;Camerún;61.0;470.0;7.7
2023;1;Comunidad de Madrid;África;Costa de Marfil;61.0;342.0;5.6
2023;1;Comunidad de Madrid;África;Egipto;560.0;3080.0;5.5
2023;1;Comunidad de Madrid;África;Ghana;112.0;728.0;6.5
2023;1;Comunidad de Madrid;África;Guinea;30.0;267.0;8.9
2023;1;Comunidad de Madrid;África;Guinea Ecuatorial;804.0;8362.0;10.4
2023;1;Comunidad de Madrid;África;Kenia;120.0;660.0;5.5
2023;1;Comunidad de Madrid;África;Libia;66.0;528.0;8.0
2023;1;Comunidad de Madrid;África;Mali;74.0;873.0;11.8
2023;1;Comunidad de Madrid;África;Marruecos;7410.0;42237.0;5.7
2023;1;Comunidad de Madrid;África;Mauritania;102.0;704.0;6.9
2023;1;Comunidad de Madrid;África;Mozambique;54.0;248.0;4.6
2023;1;Comunidad de Madrid;África;Nigeria;326.0;2347.0;7.2
2023;1;Comunidad de Madrid;África;República Democrática del Congo;36.0;151.0;4.2
2023;1;Comunidad de Madrid;África;Senegal;452.0;2305.0;5.1
2023;1;Comunidad de Madrid;África;Sudáfrica;182.0;1001.0;5.5
2023;1;Comunidad de Madrid;África;Tanzania;43.0;495.0;11.5
2023;1;Comunidad de Madrid;África;Túnez;461.0;2121.0;4.6
2023;1;Comunidad de Madrid;África;Uganda;31.0;226.0;7.3
2023;1;Comunitat Valenciana;América;Argentina;1928.0;22211.0;11.5
2023;1;Comunitat Valenciana;América;Bolivia;53.0;549.0;10.4
2023;1;Comunitat Valenciana;América;Brasil;741.0;7701.0;10.4
2023;1;Comunitat Valenciana;América;Canadá;1746.0;14451.0;8.3
2023;1;Comunitat Valenciana;América;Chile;372.0;2915.0;7.8
2023;1;Comunitat Valenciana;América;Colombia;4458.0;59471.0;13.3
